Date,Code,BREADTH_5D,DIST_HIGH20,RANGE20_PCT,RS_ACCEL,RS_ACCEL_PCTL
2026-09-11,0050,0.2402464065708419,-2.753953094137962,7.75301644449803,0.0146303901437371,0.49589322381930184
2026-09-11,0051,0.2402464065708419,-2.2289787124179505,5.561314716240285,-0.0318275154004106,0.3821868583162218
2026-09-11,0052,0.2402464065708419,-2.94801831054774,7.673853686507017,0.0171971252566734,0.5043634496919918
2026-09-11,0053,0.2402464065708419,-5.07774414497656,9.268093165745444,-0.0349075975359343,0.37474332648870634
2026-09-11,0055,0.2402464065708419,-1.1623282832043391,14.19302522975198,-0.0387577002053389,0.36498973305954824
2026-09-11,0056,0.2402464065708419,-1.426023634260143,8.318261369953692,-0.0323408624229979,0.3809034907597536
2026-09-11,0057,0.2402464065708419,-2.9016188382695707,7.8599221789883265,0.0028234086242299,0.4612422997946612
2026-09-11,0061,0.2402464065708419,-4.5109748310682924,5.518393355409777,0.040041067761807,0.5651950718685832
2026-09-11,1101,0.2402464065708419,-6.130269571205382,9.183673469387756,0.0103952772073923,0.4881930184804928
2026-09-11,1102,0.2402464065708419,-0.4231354658692177,6.515578716063647,0.0482546201232032,0.5816221765913757
2026-09-11,1103,0.2402464065708419,-2.6119361026802568,3.0651311316781458,-0.0056468172484599,0.4355749486652977
2026-09-11,1104,0.2402464065708419,-2.508956505956017,6.066174897974381,0.0173254620123204,0.50564681724846
2026-09-11,1108,0.2402464065708419,-5.882351526928787,7.589280734560827,0.0533880903490759,0.5970225872689938
2026-09-11,1109,0.2402464065708419,-2.909088134765614,2.9962517385803618,0.1134496919917864,0.7207392197125256
2026-09-11,1110,0.2402464065708419,-3.647418563174043,5.678236911948485,-0.1647843942505132,0.1935318275154004
2026-09-11,1201,0.2402464065708419,-3.599998474121091,4.149377527682079,-0.040811088295688,0.3613963039014374
2026-09-11,1203,0.2402464065708419,-7.021274972469249,9.610985559756184,-0.2351129363449691,0.13655030800821355
2026-09-11,1210,0.2402464065708419,-2.4344625741776427,3.838771705518249,0.1083162217659137,0.7122689938398358
2026-09-11,1213,0.2402464065708419,-9.650183286081017,17.089449560558574,-0.1660677618069815,0.19173511293634496
2026-09-11,1215,0.2402464065708419,-1.3392857142857095,4.524886877828054,0.0817505133470226,0.6596509240246407
2026-09-11,1216,0.2402464065708419,-4.580150819349427,5.333333333333334,-0.0236139630390143,0.39861396303901436
2026-09-11,1217,0.2402464065708419,-0.8955238893513906,1.405625931591869,0.036447638603696,0.5518480492813141
2026-09-11,1218,0.2402464065708419,-5.6291414569288545,6.666672020627766,0.2491016427104723,0.8880903490759754
