Date,Code,Name,Close,EMA9_PREV,EMA20_PREV,EMA9,EMA20,PREV_GAP_PCT,CROSS_STRENGTH_PCT
2026-09-04,6872,浩宇生醫,18.55,15.219931708726927,15.25005193258812,15.885945366981543,15.56433270091306,0.19750899206335404,2.066344071722503
2026-09-04,7772,耀穎,109.0,91.5962568269628,91.80580018435828,95.07700546157024,93.4433430239432,0.22824631665394132,1.7482919432885027
2026-09-04,3021,鴻名,24.3,20.65078518976135,20.745952897239015,21.38062815180908,21.08443357369244,0.4587290251214705,1.4048021592868865
2026-09-04,2388,威盛,81.4,74.19145857863292,74.29225196335713,75.63316686290634,74.96918034779931,0.13567146244796396,0.8856793045177235
2026-09-04,7717,萊德光電-KY,449.5,418.73241004876434,418.85463371515596,424.88592803901145,421.7732400279982,0.029180449863361893,0.7380003555480681
2026-09-04,7709,榮田,77.3,71.17995886843467,71.34699211835577,72.40396709474774,71.91394524994094,0.2341139338348236,0.681400308526679
2026-09-04,8064,東捷,112.0,102.34490116697671,102.85200870222776,104.27592093358138,103.72324596868226,0.4930458254045436,0.5328361639067714
2026-09-04,2413,環科,45.8,43.052210689133794,43.13214821612672,43.60176855130704,43.38622933840037,0.18533166164684706,0.49679176133405056
2026-09-04,2924,宏太-KY,17.9,17.11859520763939,17.125591388324125,17.274876166111515,17.199344589436112,0.04085219906334853,0.43915380776657065
2026-09-04,5283,禾聯碩,54.2,52.32861803602219,52.33130823125138,52.70289442881776,52.509278875894104,0.005140699363557249,0.3687263604995683
2026-09-04,6693,廣閎科,181.5,175.31747872369286,175.43398430758884,176.5539829789543,176.01170008781847,0.06640992870099577,0.30809479759883956
2026-09-04,3272,東碩,14.6,14.136650193744028,14.142346561184354,14.229320154995223,14.18593260297632,0.04027879967218539,0.30584913402027303
2026-09-04,2049,上銀,363.0,353.01367771249807,353.0415860082922,355.0109421699985,353.99000638845484,0.007905101523501146,0.28840808020532277
2026-09-04,4763,材料*-KY,50.3,48.61794119140336,48.682266175910165,48.954352953122694,48.83633606391872,0.13213227230295738,0.2416579512629838
2026-09-04,4166,友霖,25.2,24.627473193370854,24.628760658607394,24.741978554696683,24.68316440540669,0.005227486897886155,0.2382763746333544
2026-09-04,2849,安泰銀,15.05,14.410768652751097,14.453795287008674,14.538614922200878,14.510576688245944,0.29768398820654707,0.1932261863696018
2026-09-04,2530,華建,20.15,19.399962909410576,19.447619549033586,19.549970327528463,19.5145129253161,0.24505127479922698,0.18169760294843643
2026-09-04,3551,世禾,182.0,177.81917411279528,177.96845134969627,178.65533929023624,178.35240836401093,0.08387848282596205,0.16984964150696735
2026-09-04,2348,海悅,72.1,71.02319328122718,71.04658163684739,71.23855462498175,71.14690719524287,0.03291974797571816,0.12881435518675388
2026-09-04,6462,神盾,101.5,99.87659180098919,99.93070619744906,100.20127344079135,100.08016275007296,0.05415192038465493,0.12101368282228119
2026-09-04,1583,程泰,48.95,48.1480265318292,48.1790112878566,48.30842122546336,48.25243878425122,0.06431173077063629,0.11601992069759606
2026-09-04,8411,福貞-KY,13.0,12.869350383689559,12.870085662713826,12.895480306951647,12.882458456741082,0.005713085705385707,0.10108202758264057
2026-09-04,8488,吉源-KY,10.4,9.888692984676277,9.936811933158479,9.990954387741022,9.98092508238148,0.4842493629333171,0.10048472738509397
2026-09-04,2317,鴻海,256.0,250.30904057591897,250.7446450961275,251.4472324607352,251.2451550869725,0.17372435612394893,0.08043035643523276
2026-09-04,2515,中工,12.15,12.003335264945635,12.011786736756683,12.032668211956508,12.024949904684618,0.07035982236669303,0.06418577485203002
2026-09-04,6590,普鴻,66.0,64.82788081195532,64.94220363642704,65.06230464956427,65.04294614724351,0.17603779679503861,0.02976264678560611
2026-09-04,2412,中華電,137.5,136.66420784162875,136.71880781226974,136.83136627330302,136.79320706824407,0.03993596163884406,0.027895540923979542
2026-09-04,4755,三福化,118.0,117.74201402997323,117.75386865521351,117.7936112239786,117.77730973566936,0.010067291525670211,0.013840941303400942
2026-09-04,9802,鈺齊-KY,72.3,71.94823771058493,71.97893203901204,72.01859016846795,72.0095099400585,0.042643489640089065,0.012609762817443963
2026-09-04,6671,三能-KY,23.2,23.00281888899932,23.022518188391757,23.04225511119946,23.039421218068732,0.08556535488966649,0.012300192369871565
2026-09-04,6592,和潤企業,61.0,60.907476966574414,60.91508302611259,60.925981573259534,60.92317035695901,0.012486332054929095,0.004614363113492699
2026-09-04,1442,名軒,30.0,29.75868308463322,29.786158674428552,29.806946467706577,29.806524514959168,0.09224281014430101,0.00141563887194371
