SignalDate,Rank,Code,Name,ExplosionScoreRaw,Close,EMA_GAP_PCT,EMA9_DELTA_PCT,EMA20_DELTA_PCT,MACD_HIST,MACD_ACCEL1,MACD_ACCEL2,CCI20,CCI20_DELTA1,J,J_DELTA1,RSI14,ROC5,ROC20,BB_WIDTH,BB_WIDTH_DELTA1,VOL_RATIO5,VOL_RATIO20,ATR_PCT,BREADTH_ABOVE_MA20,BREADTH_ROC5_POS,BREADTH_ROC20_POS
2026-09-04,1,7772,耀穎,0.2875214,109.0,1.7461129354630955,3.80648674638866,1.7860616671407703,2.76984359395086,0.8907262558481168,0.33887180521501836,401.5151422214247,195.69818870082122,137.33334011501736,-35.111117892795136,66.96896668279066,21.111111111111104,19.780219780219777,0.2199227521134275,0.08736074353513279,1.0274502876943488,1.700468758625462,4.975552316999875,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,2,3094,聯傑,0.2825883,46.5,4.908317033716747,3.2050212191864214,1.9247671086581875,0.8159621388703729,0.2574251447545818,0.21758453198901395,239.745335329815,66.33434213249325,124.8677124131666,47.32145682789107,74.87696451256444,13.970590366486755,33.4289871907167,0.2683916833907487,0.05533583110497731,2.080932089727319,4.523494484428628,4.862947203616303,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,3,3653,健策,0.27760494,5875.0,7.326917009925071,0.8792736691163316,1.1788728415026428,-7.223350866445856,-6.29571440316272,23.18796750760299,86.67730933894494,21.46115171242272,97.80025541429703,68.56846473029043,66.06913369331937,1.5557476231633505,34.1324200913242,0.4276313026951567,-0.018424810768018274,0.8165757434280898,0.643784585363355,5.614123993361731,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,4,6933,AMAX-KY,0.2773682,317.0,15.881404491492447,3.4117837500503345,3.3928236561985514,11.69220274162526,-0.798634606959471,0.6255787625744684,126.8770160542805,-19.78310450322978,90.60096227513722,36.014832521222246,76.12705840925817,21.923076923076938,92.70516717325228,0.9033360441373072,0.015466483420916721,0.5245088374332344,0.9430900116209716,5.2494624534713745,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,5,7711,永擎,0.27386764,632.0,11.108891025893385,3.521914552757366,2.8393416140595873,10.175487606250885,2.147092849741016,3.166495328914161,190.6658727388456,5.4037493945671145,124.34456928838952,81.7633972571879,74.47645185545485,31.803962460896763,68.53333333333333,0.4678987780770705,0.005861288332825787,1.105518530323665,1.4882993938364728,5.476974532393484,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,6,3021,鴻名,0.27274022,24.299999237060547,1.3998311680962772,3.5482254900710775,1.636699869473679,0.4928657744932185,0.20209038548918362,0.08935849248755584,387.3395062947365,227.38985602548053,140.0,-43.9716565333714,70.55205927010968,19.70443423809311,17.391296335439765,0.1890237573061835,0.08892854314572621,1.41069200706137,2.280089855972571,3.8393533719487767,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,7,3532,台勝科,0.26873076,399.0,3.3663740687668753,0.9330323422932052,0.7624513741383288,4.569119423890293,-0.131318124767132,1.438495246537105,86.50470719642566,17.668301666471876,100.9188908370673,65.7870044569552,57.33774195562018,0.0,27.679999999999993,0.3807551409262493,-0.009896908590645792,1.1310330250741376,0.718297712275164,7.280011942572283,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,8,3406,玉晶光,0.2679738,1055.0,15.300413438800465,3.3701020604778087,3.298668296544127,36.404539528728336,-2.033724044668446,3.421246049755055,121.24474126473272,-16.720487531070418,102.04928416814377,35.25468912565688,79.93203828441327,15.049073064340243,93.22344322344324,0.9150053689600134,0.012225018148559141,0.4086879409108532,0.4698505556148312,5.877332635114704,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,9,3441,聯一光,0.26797065,143.0,12.581794141479063,2.6371538860071153,2.608688522148439,2.58906407135013,-0.07796988228096424,0.9671527715894239,96.29155999391627,0.8105667375942858,112.42878865674575,55.92107878859298,70.96597664367452,10.000000000000009,69.43127655768234,0.8347562757266735,0.006971467063442871,1.1987807756172624,0.3160025491228527,6.697465790021197,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,10,2033,佳大,0.26673353,26.049999237060547,7.883521266158122,1.5171730032678132,1.5318259727196804,0.1180468313735756,0.003059229060205809,0.010987524031163307,124.89394818688804,14.343733860021274,84.37773796634036,4.486938624477162,69.8751459444237,1.5594527270140768,53.23528962976791,0.3299840478366326,-0.05511892994847828,0.7411066394438032,0.984115920517314,5.348015904218793,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,11,3008,大立光,0.2655969,7400.0,12.578996746223648,1.4353413659866865,2.0354577501041193,150.63868481663872,-38.56212404257042,23.269221958156464,86.50128865979374,-19.9528928323912,73.34225799447216,20.999055610039562,71.57875931789211,4.741684359518761,68.75712656784492,0.7858168983422174,-0.01714219532967365,0.6005992121002642,0.5739386776864194,5.914028655004501,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,12,3324,雙鴻,0.26460204,1485.0,10.382052120296926,4.055678440239108,2.991197625317188,45.50477203422152,4.675540991389482,6.761098263555574,183.68647443046058,-1.4331584767831202,118.95424836601308,67.64705882352939,76.36784595492188,30.263157894736835,46.30541871921183,0.5767782904321345,0.07095438833338485,0.417160514316319,0.7463463076811928,5.276089844946594,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,13,3693,營邦,0.26241085,663.0,6.91137896362688,2.1713551553332433,1.7130339253709215,12.78009873662094,0.49218857517051084,-0.1097149981441028,166.0883645616472,-34.58866672587425,86.77375256322622,23.898635477582843,75.26343798991682,12.947189097103928,25.806451612903224,0.3729924442123972,0.037282213280960985,0.9656402709407822,1.6832264648404218,5.017056781752981,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,14,2388,威盛,0.2620299,81.4000015258789,0.8837362367846602,1.9480738941705988,0.9129627892862979,0.4823376749940888,0.4617031409454872,0.3766126479151634,127.59570588566312,118.93512128158375,140.87427325352255,90.8742732535225,61.41054506800316,11.050474948004595,4.49293957823258,0.1576815388463799,0.014780609485213203,2.377616331712467,3.4241799077282864,4.7725513292428134,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,15,2426,鼎元,0.26158023,104.5,11.019275241680493,1.9809244005740911,2.1115851594618595,1.9182730992871215,-0.20610126956594343,0.8015559345503547,90.11117472727453,0.9822440109051911,99.63609900532478,71.68849595103507,66.85519117412682,8.740896627736117,54.129786572761354,0.7125966873264181,0.0036273907746281475,0.8930038736771416,1.3606315614056346,7.685731178838904,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,16,3017,奇鋐,0.26091215,3570.0,5.992673454636144,1.9456332198656057,1.504852987295724,21.20710888706253,9.041259553469187,18.37007580826133,128.95055610615583,31.812654978662493,135.10828025477701,80.929789882129,69.77824101056359,6.25,28.186714542190305,0.2941384843818518,0.010565386497444984,1.1431299471603398,1.0565633417986473,5.524344387942216,44.618494188984336,35.219807983830215,51.79383527033855
2026-09-04,17,8103,瀚荃,0.25978374,122.5,10.426984930055717,1.5948268906098129,1.861478671738337,2.98660225345815,-0.48797897656871037,0.05281972041253624,101.71548892587491,-6.710585910496448,91.83791369958863,14.201510323408087,72.35831326223278,12.903225806451625,55.65438977153112,0.6980232204189539,-0.0018332398728264643,0.8191846439800609,1.151924717145295,5.502539582659419,44.618494188984336,35.219807983830215,51.79383527033855
