SignalDate,Code,Name,Close,EMA9,EMA20,EMA_GAP_PCT,EMA9_DELTA_PCT,EMA20_DELTA_PCT,MACD_HIST,MACD_ACCEL1,MACD_ACCEL2,CCI20,CCI20_DELTA1,CCI_TURN,J,J_DELTA1,J_TURN,PULLBACK_RECOVERY,BB_CONTRACT,R0_BASE_ONSET,R1_CCI_ONSET,R2_J_ONSET,R3_EITHER_ONSET,R4_BOTH_ONSET,TrackFlags
2026-09-04,0050,元大台灣50,107.9000015258789,106.56231470259212,105.55478305131618,0.9545106551790417,0.3148153431150824,0.23442216634244062,0.2147482093439614,0.0314338456925872,0.12768760248572938,108.10095254306505,41.52192612361702,True,116.93133418831039,86.77271936442583,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,0052,富邦科技,62.70000076293945,61.992736616212305,61.478427690601514,0.8365681181684126,0.28603640457689483,0.2095957169403473,0.1033423229243332,0.019781130551521794,0.0873149249760664,92.55194905911132,56.697787402925826,True,115.52523537045258,96.80387392330539,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,0053,元大電子,243.6499938964844,241.6297915584875,239.4288235765819,0.9192577355673359,0.2094561439274667,0.18592575532712097,0.1716830530455566,0.02515302471398989,0.3416754479753434,67.43696690278651,43.87321481275032,True,99.99993415839484,88.34952543016803,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,0056,元大高股息,55.400001525878906,54.293323377938684,53.34682503366446,1.7742355682403455,0.5121930318003232,0.40677769431871624,0.2122592850787259,0.012033580977861197,0.05722851170292978,137.82404000314952,-0.7824452215112387,False,101.95851051816462,63.51282577032214,True,True,1,True,False,True,True,False,R0_BASE|R2_J|R3_EITHER
2026-09-04,0057,富邦摩台,321.6000061035156,318.2215684124486,315.2129826933662,0.9544612323310053,0.2661218462283621,0.21374605248500878,0.5038339132183216,0.05175785644384412,0.28512438452412026,100.85016978127918,34.78736994730407,True,115.09986471400413,69.8006763140537,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,1213,大飲,7.699999809265137,7.493485046248636,7.452910480326345,0.544412361176172,0.6937609151244528,0.35020532487977096,0.0479135128328624,0.010902635731716202,0.014610012250644705,55.90286188950073,56.815335274062164,True,71.09372807510985,51.30211340729774,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,1457,宜進,14.5,14.424696675387652,14.3894780865513,0.24475237131267313,0.13068165997491832,0.08091536856014159,0.0058878953466625,0.0043047826040001,0.007052332654512401,77.21724444780499,22.46684424535718,False,128.88898496270144,77.77802502651889,True,True,1,True,False,True,True,False,R0_BASE|R2_J|R3_EITHER
2026-09-04,1472,三洋實業,89.9000015258789,88.92806362856072,88.80063924745835,0.14349489168348217,0.2739857444418403,0.13048706492480022,0.0979160450465286,0.07476872780982619,0.12735109203673628,145.25396574772807,172.45528358889177,True,113.12751709917552,94.08002780302273,True,True,0,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,1503,士電,207.5,204.34128605307097,203.10403500741643,0.609171081022275,0.3879500123696644,0.228350860801263,1.0266064869059348,0.08759396049487822,0.5435484046117678,87.93456032719862,36.388168574621325,True,89.16666666666664,101.98717948717947,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,1569,濱川,48.70000076293945,46.26933757961348,45.099301969467064,2.5943541453004038,1.3308005863406303,0.8475369939136224,0.4625867828873971,0.09577736717398067,0.24232370467758801,141.93551507950846,45.63874894122287,True,132.6205791063285,134.858799406311,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
